NAME,POSITION,AGENCY,ROLE
PN. REZUANA SUDIN,FINANCIAL CONTROLLER,SABAH AIR AVIATION SDN BHD,PESERTA
EN. RODNEY LINUS,KETUA PEGAWAI EKSEKUTIF,SABAH AIR AVIATION SDN BHD,PESERTA
SUE RACHELLE PAUL,KETUA PEGAWAI PERKHIDMATAN KORPORAT DAN UNDANG-UNDANG,SABAH ECONOMIC DEVELOPMENT AND INVESTMENT AUTHORITY,PESERTA
MOHD. AFFANDI BIN HARUN,AKAUNTAN KANAN,SABAH ECONOMIC DEVELOPMENT AND INVESTMENT AUTHORITY,PESERTA
KHADIZAH BINTI ABD RAHMAN,PEGAWAI ANALISA DASAR KANAN,SABAH ECONOMIC DEVELOPMENT AND INVESTMENT AUTHORITY,PESERTA
YB DATUK MOHAMMAD BIN MOHAMARIN,PENGERUSI,SABAH FISH MARKETING SDN BHD,PESERTA
TUAN KHAZARUDIN BIN KAHAR,TIMBALAN PENGERUSI,SABAH FISH MARKETING SDN BHD,PESERTA
DATUK ALSAT BIN EDRIS @ ARSAT IDRIS,AHLI LEMBAGA PENGARAH,SABAH FISH MARKETING SDN BHD,PESERTA
PUAN SARIDAH AB LAKATA,AHLI LEMBAGA PENGARAH,SABAH FISH MARKETING SDN BHD,PESERTA
ENCIK BURHAN HJ JAPAR,PENGURUS BESAR,SABAH FISH MARKETING SDN BHD,PESERTA
PUAN HALIJAH BINTI DIN,DEPUTY CHAIRMAN,SABAH FISH MARKETING SDN BHD,PESERTA
DATUK AZAMAN @ AZMAN BIN RUSLAN,PENGERUSI SYARIKAT,SABAH NET SDN. BHD.,PESERTA
DATUK JASMINE TEO GECK CHOO,PENGARAH,SABAH NET SDN. BHD.,PESERTA
PUAN ERNYWATI DEWI BINTI ABAS,PENGARAH,SABAH NET SDN. BHD.,PESERTA
TUAN HAJI RAMSAH @ RAMLI BIN TAHIR,PENGARAH,SAHAM SABAH BERHAD,PESERTA
AISAH BINTI SAYADI,PENGARAH,SAHAM SABAH BERHAD,PESERTA
MEHERUNNISA BINTI MOHAMMED ZULFIKAR,KETUA PEGAWAI EKSEKUTIF,SAHAM SABAH BERHAD,PESERTA
DATUK NELLIE SIKODOL,"TIMBALAN PENGERUSI, AHLI LEMBAGA PENGARAH",SAHAM SABAH BERHAD,PESERTA
NOOR ASPAH LELA ABU BAKAR,TIMBALAN KETUA PEGAWAI EKSEKUTIF,SAHAM SABAH BERHAD,PESERTA
DATUK VICTOR ATIONG,GROUP MANAGING DIRECTOR/GROUP CHIEF EXECUTIVE OFFICER,SAWIT KINABALU BERHAD,PESERTA
MARY KU MEI LI,BOD,SAWIT KINABALU BERHAD,PESERTA
DATO' DR JANATHAN KANDOK,BOD,SAWIT KINABALU BERHAD,PESERTA
FRED STANLEY SINIDOL,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
DATUK ABDUL RAHMAN BIN KONGKAWANG,BOD,SAWIT KINABALU BERHAD,PESERTA
DATUK ZAKARIA MOHD EDRIS,AHLI LEMBAGA PENGARAH,SAWIT KINABALU BERHAD,PESERTA
DATUK DR. DIONYSIA KIBAT,GROUP CHIEF EXECUTIVE OFFICER & EXECUTIVE DIRECTOR,SMJ ENERGY SDN BHD,PESERTA
SOONG THEN THEN @ SAMANTHA SOONG,CHIEF LEGAL & COMMERCIAL OFFICER,SMJ ENERGY SDN BHD,PESERTA
KENNY HUAH,CHIEF FINANCIAL OFFICER,SMJ ENERGY SDN BHD,PESERTA
FAISAL BIN ABDUL RAHMAN,SIP CHIEF EXECUTIVE OFFICER,SMJ ENERGY SDN BHD,PESERTA
PUAN GRACE CHU @ CHU SHUK KEN,DIRECTOR,SMJ ENERGY SDN BHD,PESERTA
DATUK ALBERT LO,DIRECTOR,SMJ ENERGY SDN BHD,PESERTA
CHENG LAY KUAN,DIRECTOR,SMJ ENERGY SDN BHD,PESERTA
ROSELI BIN SINDONG,PENGARAH URUSAN,YAYASAN USAHA MAJU,PESERTA
SAHRINI BINTI SAHAT,PENOLONG PENGARAH URUSAN (PENTADBIRAN),YAYASAN USAHA MAJU,PESERTA
DATUK HAJJAH MYRNA JIMENEZ@ISABELO,SETIAUSAHA TETAP KPLB,YAYASAN USAHA MAJU,PESERTA
ENCIK MACKEY APISON,PENGURUS BESAR,LEMBAGA KEBUDAYAAN NEGERI SABAH,PESERTA
ENCIK MOHD RASHDEY BIN DATUK HJ SABARDIN,AHLI LEMBAGA PENGARAH,LEMBAGA KEBUDAYAAN NEGERI SABAH,PESERTA
DATUK ROSEMARY AHPING,PENGURUS BESAR,LEMBAGA PEMBANGUNAN PERUMAHAN & BANDAR,PESERTA
MILDRED JENNIFER G. SHAM,"TIMBALAN PENGURUS BESAR/PENGURUS HARTA, PENJUALAN & PEMASARAN",LEMBAGA PEMBANGUNAN PERUMAHAN & BANDAR,PESERTA
MUHAMMAD KHAIRULNIZAM BIN HASNAN,CHIEF EXECUTIVE OFFICER,QHAZANAH HEALTHCARE SDN. BHD.,PESERTA
SUHAIMI BIN ISMAIL,TIMBALAN PENGERUSI QCBSB,QHAZANAH CEKAL BERSEPADU SDN. BHD.,PESERTA
MOHD FAIZAL BIN SAIDI,PENGURUS BESAR QCBSB,QHAZANAH CEKAL BERSEPADU SDN. BHD.,PESERTA
TUAN HAJI MOHAMAD DAMSHAL BIN AWANG DAMIT,GROUP CHIEF EXECUTIVE OFFICER,QHAZANAH SABAH BERHAD,PESERTA
YB. SENATOR TAN SRI DATUK SERI PANGLIMA ANIFAH BIN AMAN,PENGERUSI,QHAZANAH SABAH BERHAD,PESERTA
"SIM FUI, JP","CHIEF EXECUTIVE OFFICER, KOJASA HOLDINGS BERHAD",KOJASA HOLDINGS BERHAD,PESERTA
DATUK ZAMANI BIN BASRI,DEPUTY CHAIRMAN KOJASA HOLDINGS BERHAD,KOJASA HOLDINGS BERHAD,PESERTA
DATUK TEO AN LUN @ GEORGE,DIRECTOR KOJASA HOLDINGS BERHAD,KOJASA HOLDINGS BERHAD,PESERTA
JEREMY RONALD E KIMSIN,KETUA PEGAWAI EKSEKUTIF,COMMON TOWER TECHNOLOGIES SDN. BHD.,PESERTA
RUDY JAGLUL,AHLI LEMBAGA PENGARAH,COMMON TOWER TECHNOLOGIES SDN. BHD.,PESERTA
TAN SRI SUKARTI BIN WAKIMAN,CHAIRMAN,PROGRESSIVE INSURANCE BERHAD,PESERTA
TUAN JAIMIN BIN KAMIN,CHIEF EXECUTIVE OFFICER,PROGRESSIVE INSURANCE BERHAD,PESERTA
DATO KHALID BIN ABDOL RAHMAN,DIRECTOR,PROGRESSIVE INSURANCE BERHAD,PESERTA
DATUK GEORGE TAITIM TULAS,DIRECTOR,PROGRESSIVE INSURANCE BERHAD,PESERTA
MR. TAN SEE DIP,DIRECTOR,PROGRESSIVE INSURANCE BERHAD,PESERTA
DATUK BAHRUL RAZHA BIN HAJI CHUPRAT,PENGURUS BESAR,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
ENCIK BARHUL BIN SAHIBU,AHLI LEMBAGA PENGARAH,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
PUAN NOR HAYATY BINTI MOHD ADNAN,AHLI LEMBAGA PENGARAH,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
PUAN LINDSAY MICHAEL GODTOL,AHLI LEMBAGA PENGARAH,LEMBAGA KEMAJUAN PERHUTANAN NEGERI SABAH (SAFODA),PESERTA
ALFIAN BIN RAHIM,AHLI LEMBAGA PENGARAH,MLGH (SABAH) SDN BHD,PESERTA
EMILIANA CHIN YEN LING,CHIEF EXECUTIVE OFFICER,DESA PLUS SDN BHD,PESERTA
DR  ZUL BAHAR BIN ABD RASHID,PENGARAH,DESA PLUS SDN BHD,PESERTA
MR CHOW CHUN NIAN,KETUA PEGAWAI EKSEKUTIF,DESA PLUS SDN BHD,PESERTA
DR NORMAH YUSOP,BOD,DKLIC DAN SOLIDEV,PESERTA
TUAN HAJI FAEZ AINSTEIN BIN NORDIN,GCEO,ANGKATAN HEBAT SDN. BHD.,PESERTA
DATUK DR. STEPHEN JACOB JIMBANGAN,DEPUTY CHAIRMAN,ANGKATAN HEBAT SDN. BHD.,PESERTA
SYED AHMAD BIN SYED ABAS,PENGERUSI,LEMBAGA SUKAN NEGERI SABAH,PESERTA
MUHD FIRDAUS BIN KASSIM,TIMBALAN PENGURUS BESAR,LEMBAGA SUKAN NEGERI SABAH,PESERTA
D. MARYAMA BINTI AG. DAUD,AHLI LEMBAGA,LEMBAGA SUKAN NEGERI SABAH,PESERTA
TUAN MAT SAIDI BIN MINTING,PENGURUS BESAR,PERKASA REALTY SDN. BHD.,PESERTA
DATUK DR. CHRISTOPER MANDUT,PENGERUSI / AHLI LEMBAGA PENGARAH,PERKASA REALTY SDN. BHD.,PESERTA
DATUK SR. WONG NYUK LEONG @LIFRED TALIBAN,AHLI LEMBAGA PENGARAH,KKIP GARDEN SDN BHD,PESERTA
BENEDICT BIN MASRI,PENGURUS BESAR,KKIP GARDEN SDN BHD,PESERTA
RAYMOND CHIEW VUI LEONG,CHIEF OPERATING OFFICER,SABAH INTERNATIONAL DAIRIES SDN BHD,PESERTA
